Site ProfileID Date Chainage Elevation Flag
NARRA PF6 2014-01-10 0 6.55 DUNEFILL
NARRA PF6 2014-01-10 1 6.48 DUNEFILL
NARRA PF6 2014-01-10 2 6.42 DUNEFILL
NARRA PF6 2014-01-10 3 6.35 DUNEFILL
NARRA PF6 2014-01-10 4 5.86 DUNEFILL
NARRA PF6 2014-01-10 5 5.96 DUNEFILL
NARRA PF6 2014-01-10 6 5.76 DUNEFILL
NARRA PF6 2014-01-10 7 5.7 DUNEFILL
NARRA PF6 2014-01-10 8 5.51 GPS
NARRA PF6 2014-01-10 9 5.46 GPS
NARRA PF6 2014-01-10 10 5.32 GPS
NARRA PF6 2014-01-10 11 5.12 GPS
NARRA PF6 2014-01-10 12 4.88 GPS
NARRA PF6 2014-01-10 13 4.56 GPS
NARRA PF6 2014-01-10 14 4.22 GPS
NARRA PF6 2014-01-10 15 3.85 GPS
NARRA PF6 2014-01-10 16 3.58 GPS
NARRA PF6 2014-01-10 17 3.37 GPS
NARRA PF6 2014-01-10 18 3.24 GPS
NARRA PF6 2014-01-10 19 3.11 GPS
NARRA PF6 2014-01-10 20 3.15 GPS
NARRA PF6 2014-01-10 21 3.1 GPS
NARRA PF6 2014-01-10 22 3.11 GPS
NARRA PF6 2014-01-10 23 3.08 GPS
NARRA PF6 2014-01-10 24 3.09 GPS
NARRA PF6 2014-01-10 25 3.06 GPS
NARRA PF6 2014-01-10 26 3.05 GPS
NARRA PF6 2014-01-10 27 3.07 GPS
NARRA PF6 2014-01-10 28 3.09 GPS
NARRA PF6 2014-01-10 29 3.09 GPS
NARRA PF6 2014-01-10 30 3.1 GPS
NARRA PF6 2014-01-10 31 3.09 GPS
NARRA PF6 2014-01-10 32 2.91 GPS
NARRA PF6 2014-01-10 33 2.61 GPS
NARRA PF6 2014-01-10 34 2.41 GPS
NARRA PF6 2014-01-10 35 2.21 GPS
NARRA PF6 2014-01-10 36 2.02 GPS
NARRA PF6 2014-01-10 37 1.93 GPS
NARRA PF6 2014-01-10 38 1.8 GPS
NARRA PF6 2014-01-10 39 1.62 GPS
NARRA PF6 2014-01-10 40 1.47 GPS
NARRA PF6 2014-01-10 41 1.31 GPS
NARRA PF6 2014-01-10 42 1.15 GPS
NARRA PF6 2014-01-10 43 1.04 GPS
NARRA PF6 2014-01-10 44 0.9 GPS
NARRA PF6 2014-01-10 45 0.71 GPS
NARRA PF6 2014-01-10 46 0.59 GPS
NARRA PF6 2014-01-10 47 0.43 GPS
NARRA PF6 2014-01-10 48 0.24 GPS
NARRA PF6 2014-01-10 49 0.09 GPS
NARRA PF6 2014-01-10 50 -0.1 GPS
NARRA PF6 2014-01-10 51 -0.27 GPS
NARRA PF6 2014-01-10 52 -0.34 GPS
NARRA PF8 2014-01-10 0 3.31 DUNEFILL
NARRA PF8 2014-01-10 1 3.28 DUNEFILL
NARRA PF8 2014-01-10 2 3.31 DUNEFILL
NARRA PF8 2014-01-10 3 3.3 DUNEFILL
NARRA PF8 2014-01-10 4 3.28 DUNEFILL
NARRA PF8 2014-01-10 5 3.26 DUNEFILL
NARRA PF8 2014-01-10 6 3.23 DUNEFILL
NARRA PF8 2014-01-10 7 3.22 DUNEFILL
NARRA PF8 2014-01-10 8 3.23 DUNEFILL
NARRA PF8 2014-01-10 9 3.23 DUNEFILL
NARRA PF8 2014-01-10 10 3.22 DUNEFILL
NARRA PF8 2014-01-10 11 3.21 DUNEFILL
NARRA PF8 2014-01-10 12 3.26 GPS
NARRA PF8 2014-01-10 13 3.28 GPS
NARRA PF8 2014-01-10 14 3.26 GPS
NARRA PF8 2014-01-10 15 3.24 GPS
NARRA PF8 2014-01-10 16 3.27 GPS
NARRA PF8 2014-01-10 17 3.26 GPS
NARRA PF8 2014-01-10 18 3.28 GPS
NARRA PF8 2014-01-10 19 3.22 GPS
NARRA PF8 2014-01-10 20 3.25 GPS
NARRA PF8 2014-01-10 21 3.23 GPS
NARRA PF8 2014-01-10 22 3.21 GPS
NARRA PF8 2014-01-10 23 3.19 GPS
