Site ProfileID Date Chainage Elevation Flag
DUCK P-100 1998-02-01 0.00 4.62 GPS
DUCK P-100 1998-02-01 1.88 4.67 GPS
DUCK P-100 1998-02-01 2.53 4.68 GPS
DUCK P-100 1998-02-01 3.12 4.64 GPS
DUCK P-100 1998-02-01 4.22 4.61 GPS
DUCK P-100 1998-02-01 4.85 4.53 GPS
DUCK P-100 1998-02-01 6.16 4.53 GPS
DUCK P-100 1998-02-01 6.80 3.89 GPS
DUCK P-100 1998-02-01 7.30 4.91 GPS
DUCK P-100 1998-02-01 7.73 4.96 GPS
DUCK P-100 1998-02-01 8.07 4.97 GPS
DUCK P-100 1998-02-01 9.27 4.95 GPS
DUCK P-100 1998-02-01 10.10 4.96 GPS
DUCK P-100 1998-02-01 11.41 5.04 GPS
DUCK P-100 1998-02-01 12.15 5.06 GPS
DUCK P-100 1998-02-01 12.26 5.00 GPS
DUCK P-100 1998-02-01 12.52 4.91 GPS
DUCK P-100 1998-02-01 13.23 4.79 GPS
DUCK P-100 1998-02-01 15.94 4.75 GPS
DUCK P-100 1998-02-01 16.51 4.73 GPS
DUCK P-100 1998-02-01 18.34 4.96 GPS
DUCK P-100 1998-02-01 19.18 5.10 GPS
DUCK P-100 1998-02-01 19.58 5.17 GPS
DUCK P-100 1998-02-01 20.10 5.34 GPS
DUCK P-100 1998-02-01 20.48 5.32 GPS
DUCK P-100 1998-02-01 20.96 5.30 GPS
DUCK P-100 1998-02-01 21.70 5.30 GPS
DUCK P-100 1998-02-01 22.12 5.31 GPS
DUCK P-100 1998-02-01 22.79 5.37 GPS
DUCK P-100 1998-02-01 23.15 5.42 GPS
DUCK P-100 1998-02-01 23.52 5.50 GPS
DUCK P-100 1998-02-01 23.87 5.54 GPS
DUCK P-100 1998-02-01 24.27 5.60 GPS
DUCK P-100 1998-02-01 24.68 5.72 GPS
DUCK P-100 1998-02-01 25.23 5.86 GPS
DUCK P-100 1998-02-01 25.59 5.95 GPS
DUCK P-100 1998-02-01 26.00 6.05 GPS
DUCK P-100 1998-02-01 26.56 6.14 GPS
DUCK P-100 1998-02-01 26.89 6.29 GPS
DUCK P-100 1998-02-01 27.20 6.38 GPS
DUCK P-100 1998-02-01 27.51 6.52 GPS
DUCK P-100 1998-02-01 27.86 6.63 GPS
DUCK P-100 1998-02-01 28.10 6.86 GPS
DUCK P-100 1998-02-01 28.41 6.94 GPS
DUCK P-100 1998-02-01 29.00 7.13 GPS
DUCK P-100 1998-02-01 29.68 7.23 GPS
DUCK P-100 1998-02-01 30.23 7.25 GPS
DUCK P-100 1998-02-01 30.73 7.12 GPS
DUCK P-100 1998-02-01 31.16 7.13 GPS
DUCK P-100 1998-02-01 31.84 7.19 GPS
DUCK P-100 1998-02-01 32.25 7.09 GPS
DUCK P-100 1998-02-01 33.03 7.08 GPS
DUCK P-100 1998-02-01 34.31 7.08 GPS
DUCK P-100 1998-02-01 35.08 6.93 GPS
DUCK P-100 1998-02-01 35.45 6.75 GPS
DUCK P-100 1998-02-01 36.01 6.60 GPS
DUCK P-100 1998-02-01 36.96 6.35 GPS
DUCK P-100 1998-02-01 37.41 6.21 GPS
DUCK P-100 1998-02-01 38.11 6.05 GPS
DUCK P-100 1998-02-01 38.49 5.91 GPS
DUCK P-100 1998-02-01 38.99 5.79 GPS
DUCK P-100 1998-02-01 39.31 5.73 GPS
DUCK P-100 1998-02-01 39.76 5.59 GPS
DUCK P-100 1998-02-01 40.50 5.38 GPS
DUCK P-100 1998-02-01 41.10 5.18 GPS
DUCK P-100 1998-02-01 41.74 5.05 GPS
DUCK P-100 1998-02-01 42.16 4.96 GPS
DUCK P-100 1998-02-01 42.49 4.93 GPS
DUCK P-100 1998-02-01 42.91 4.89 GPS
DUCK P-100 1998-02-01 43.94 4.93 GPS
DUCK P-100 1998-02-01 44.38 5.01 GPS
DUCK P-100 1998-02-01 44.82 5.07 GPS
DUCK P-100 1998-02-01 45.13 5.09 GPS
DUCK P-100 1998-02-01 45.37 5.14 GPS
DUCK P-100 1998-02-01 45.76 5.06 GPS
DUCK P-100 1998-02-01 46.01 5.18 GPS
DUCK P-100 1998-02-01 46.85 4.81 GPS
DUCK P-100 1998-02-01 47.06 4.48 GPS
DUCK P-100 1998-02-01 47.43 4.57 GPS
DUCK P-100 1998-02-01 48.24 4.12 GPS
DUCK P-100 1998-02-01 48.70 3.94 GPS
DUCK P-100 1998-02-01 49.88 3.70 GPS
DUCK P-100 1998-02-01 50.70 3.56 GPS
DUCK P-100 1998-02-01 51.33 3.42 GPS
DUCK P-100 1998-02-01 52.16 3.27 GPS
DUCK P-100 1998-02-01 52.93 3.12 GPS
DUCK P-100 1998-02-01 53.61 3.01 GPS
DUCK P-100 1998-02-01 54.24 2.89 GPS
DUCK P-100 1998-02-01 54.95 2.77 GPS
DUCK P-100 1998-02-01 55.78 2.61 GPS
DUCK P-100 1998-02-01 56.61 2.48 GPS
DUCK P-100 1998-02-01 57.58 2.39 GPS
DUCK P-100 1998-02-01 57.69 2.37 GPS
DUCK P-100 1998-02-01 59.82 2.50 GPS
