Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  01-Jan-2018 00:00:00	9999.00000	9999.00000	9	9999.000	9999.000	9999.0	9999.0	9999	9999	9999.0
  01-Jan-2018 00:30:00	50.73421	-0.49441	0	2.520	3.030	10.0	6.1	215	 14	9.6
  01-Jan-2018 01:00:00	50.73421	-0.49441	0	2.220	2.960	11.1	5.9	207	 19	9.5
  01-Jan-2018 01:30:00	50.73416	-0.49436	5	2.010	2.640	11.8	5.6	215	 15	9.4
  01-Jan-2018 02:00:00	50.73414	-0.49430	0	1.900	2.200	10.5	5.4	212	 12	9.4
  01-Jan-2018 02:30:00	50.73412	-0.49426	5	1.680	2.880	10.5	5.0	208	 17	9.4
  01-Jan-2018 03:00:00	50.73413	-0.49419	5	1.780	2.860	11.1	4.9	211	 10	9.4
  01-Jan-2018 03:30:00	50.73416	-0.49376	5	1.800	2.930	10.5	4.8	211	 14	9.4
  01-Jan-2018 04:00:00	50.73431	-0.49355	5	1.730	2.360	10.0	4.7	214	 16	9.4
  01-Jan-2018 04:30:00	50.73438	-0.49348	5	1.650	2.470	11.1	4.4	215	 25	9.3
  01-Jan-2018 05:00:00	50.73444	-0.49346	5	1.650	2.710	10.0	4.5	212	 21	9.3
  01-Jan-2018 05:30:00	50.73449	-0.49342	5	1.630	2.520	10.0	4.2	215	 17	9.3
  01-Jan-2018 06:00:00	50.73449	-0.49340	5	1.690	3.230	11.8	4.5	210	 16	9.4
  01-Jan-2018 06:30:00	50.73449	-0.49340	5	1.850	2.880	10.5	4.9	210	 12	9.4
  01-Jan-2018 07:00:00	50.73451	-0.49340	5	1.960	3.020	11.8	5.5	210	 18	9.5
  01-Jan-2018 07:30:00	50.73452	-0.49342	0	2.120	3.410	10.5	5.9	212	 15	9.4
  01-Jan-2018 08:00:00	50.73453	-0.49348	0	2.430	4.110	11.8	6.5	217	 19	9.6
  01-Jan-2018 08:30:00	50.73460	-0.49353	0	2.460	3.410	10.0	6.3	219	 18	9.6
  01-Jan-2018 09:00:00	50.73462	-0.49357	0	2.670	4.070	9.1	6.5	214	 12	9.6
  01-Jan-2018 09:30:00	50.73463	-0.49366	0	2.480	3.670	11.8	6.0	208	 15	9.6
  01-Jan-2018 10:00:00	50.73469	-0.49404	0	2.500	3.670	10.5	6.1	218	 18	9.6
  01-Jan-2018 10:30:00	50.73455	-0.49436	5	2.520	3.580	16.7	6.2	219	 20	9.6
  01-Jan-2018 11:00:00	50.73436	-0.49451	5	2.380	3.580	15.4	6.5	214	 28	9.5
  01-Jan-2018 11:30:00	50.73432	-0.49456	5	2.190	2.830	16.7	6.3	224	 20	9.5
  01-Jan-2018 12:00:00	50.73429	-0.49456	5	1.910	3.070	15.4	6.1	219	 23	9.5
  01-Jan-2018 12:30:00	50.73426	-0.49456	5	1.760	2.610	16.7	6.1	218	 26	9.4
