%{dd/MM/yyyy}D %{HH:mm}D %f %f %f
01/01/2014 00:00 1.535 12.93 165
01/01/2014 01:00 1.608 12.93 169
01/01/2014 02:00 1.605 12.93 169
01/01/2014 03:00 1.39 12.93 166
01/01/2014 04:00 1.449 12.14 158
01/01/2014 05:00 1.543 12.93 152
01/01/2014 06:00 1.542 8.9 166
01/01/2014 07:00 1.766 12.14 166
01/01/2014 08:00 1.705 11.45 163
01/01/2014 09:00 1.78 10.83 168
01/01/2014 10:00 1.805 9.77 158
01/01/2014 11:00 1.788 8.9 151
01/01/2014 12:00 1.634 12.14 170
01/01/2014 13:00 1.575 9.32 158
01/01/2014 14:00 1.503 12.14 159
01/01/2014 15:00 1.326 12.14 161
01/01/2014 16:00 1.392 11.45 155
01/01/2014 17:00 1.468 11.45 156
01/01/2014 18:00 1.442 12.14 147
01/01/2014 19:00 1.528 11.45 148
01/01/2014 20:00 1.532 11.45 151
01/01/2014 21:00 1.548 12.14 149
01/01/2014 22:00 1.511 12.14 158
01/01/2014 23:00 1.403 12.14 144
02/01/2014 00:00 1.251 11.45 147
02/01/2014 01:00 1.092 11.45 140
02/01/2014 02:00 1.047 10.83 106
02/01/2014 03:00 0.991 10.83 100
02/01/2014 04:00 0.994 11.45 116
02/01/2014 05:00 0.916 11.45 124
02/01/2014 06:00 0.829 10.83 106
02/01/2014 07:00 0.753 11.45 127
02/01/2014 08:00 0.676 10.27 80
02/01/2014 09:00 0.643 10.27 80
02/01/2014 10:00 0.634 10.27 88
02/01/2014 11:00 0.596 10.27 80
02/01/2014 12:00 0.606 9.77 85
02/01/2014 13:00 0.567 10.83 82
02/01/2014 14:00 0.617 10.27 83
02/01/2014 15:00 0.852 10.27 109
02/01/2014 16:00 0.789 9.77 96
02/01/2014 17:00 0.734 9.77 85
02/01/2014 18:00 0.704 9.77 85
02/01/2014 19:00 0.834 9.77 88
02/01/2014 20:00 0.931 5.07 149
02/01/2014 21:00 1.009 5.34 145
02/01/2014 22:00 1.155 5.8 134
02/01/2014 23:00 1.168 6.36 145
03/01/2014 00:00 1.142 5.48 134
03/01/2014 01:00 1.16 10.83 169
03/01/2014 02:00 1.36 11.45 163
03/01/2014 03:00 1.844 10.27 170
03/01/2014 04:00 1.928 10.27 162
03/01/2014 05:00 2.038 10.27 159
03/01/2014 06:00 1.911 10.83 170
03/01/2014 07:00 1.78 9.32 147
03/01/2014 08:00 1.738 8.9 142
03/01/2014 09:00 1.751 10.27 159
03/01/2014 10:00 1.577 10.27 161
03/01/2014 11:00 1.603 10.83 165
03/01/2014 12:00 1.571 10.27 158
03/01/2014 13:00 1.6 10.27 165
03/01/2014 14:00 1.653 10.27 155
03/01/2014 15:00 1.656 8.17 142
03/01/2014 16:00 1.588 10.27 151
03/01/2014 17:00 1.551 13.82 159
03/01/2014 18:00 1.561 12.93 166
03/01/2014 19:00 1.525 12.93 162
03/01/2014 20:00 1.467 12.93 158
03/01/2014 21:00 1.364 12.93 166
03/01/2014 22:00 1.304 12.14 162
03/01/2014 23:00 1.349 12.14 154
04/01/2014 00:00 1.231 12.14 162
04/01/2014 01:00 1.186 12.14 154
04/01/2014 02:00 1.255 12.14 156
04/01/2014 03:00 1.523 11.45 166
04/01/2014 04:00 1.704 10.83 178
04/01/2014 05:00 1.884 6.16 200
04/01/2014 06:00 2 5.98 200
04/01/2014 07:00 2.013 8.17 199
04/01/2014 08:00 1.869 7.03 199
04/01/2014 09:00 1.656 7.28 178
04/01/2014 10:00 1.63 8.9 175
04/01/2014 11:00 1.847 9.32 182
04/01/2014 13:00 2.63 9.32 155
04/01/2014 14:00 2.36 9.32 152
04/01/2014 15:00 2.207 9.77 155
04/01/2014 16:00 2.197 9.77 162
04/01/2014 17:00 2.013 9.32 175
04/01/2014 18:00 1.837 9.32 159
04/01/2014 19:00 1.789 9.77 159
04/01/2014 20:00 1.699 9.32 165
04/01/2014 21:00 1.756 10.27 161
04/01/2014 22:00 1.809 10.27 172
04/01/2014 23:00 1.949 10.83 161
05/01/2014 00:00 1.784 10.27 158
05/01/2014 01:00 1.734 9.77 165
05/01/2014 02:00 1.656 10.83 170
05/01/2014 03:00 1.72 9.32 148
05/01/2014 04:00 1.618 9.32 145
05/01/2014 05:00 1.69 9.77 158
05/01/2014 06:00 1.727 9.77 154
05/01/2014 07:00 1.802 9.77 154
05/01/2014 08:00 1.826 10.27 162
05/01/2014 09:00 1.868 7.85 133
05/01/2014 10:00 1.886 10.27 145
05/01/2014 11:00 1.709 10.83 154
05/01/2014 12:00 1.591 10.27 155
05/01/2014 13:00 1.543 11.45 159
05/01/2014 14:00 1.542 10.27 156
05/01/2014 15:00 1.536 10.83 147
05/01/2014 16:00 1.683 5.48 68
05/01/2014 17:00 1.973 6.16 64
05/01/2014 18:00 2.155 6.36 51
05/01/2014 19:00 2.219 7.03 54
05/01/2014 20:00 2.192 7.03 59
05/01/2014 21:00 2.18 6.56 58
05/01/2014 22:00 2.045 7.56 58
05/01/2014 23:00 1.719 7.28 62
06/01/2014 00:00 1.517 6.56 64
06/01/2014 01:00 1.288 6.56 75
06/01/2014 02:00 1.143 7.28 75
06/01/2014 03:00 0.977 9.77 71
06/01/2014 04:00 0.875 8.9 83
06/01/2014 05:00 0.861 8.9 93
06/01/2014 06:00 0.868 9.32 97
06/01/2014 07:00 0.905 8.52 89
06/01/2014 08:00 0.929 8.17 80
06/01/2014 09:00 0.988 8.52 109
06/01/2014 10:00 1.04 8.52 124
06/01/2014 11:00 1.079 8.17 161
06/01/2014 12:00 1.101 7.56 173
06/01/2014 13:00 1.243 8.52 166
06/01/2014 14:00 1.295 7.56 162
06/01/2014 15:00 1.5 7.56 159
06/01/2014 16:00 1.731 8.52 127
06/01/2014 17:00 1.742 7.56 140
06/01/2014 18:00 1.591 7.56 142
06/01/2014 19:00 1.583 7.85 142
06/01/2014 20:00 1.579 8.17 147
06/01/2014 21:00 1.68 10.83 111
06/01/2014 22:00 1.724 7.85 147
06/01/2014 23:00 1.695 8.52 147
07/01/2014 00:00 1.802 11.45 147
07/01/2014 01:00 1.959 10.83 140
07/01/2014 02:00 1.867 11.45 159
07/01/2014 03:00 1.786 9.77 138
07/01/2014 04:00 1.959 10.27 140
07/01/2014 05:00 2.018 7.85 134
07/01/2014 06:00 2.275 10.83 152
07/01/2014 07:00 2.668 9.77 142
07/01/2014 08:00 2.834 8.9 165
07/01/2014 09:00 2.954 9.77 169
07/01/2014 10:00 2.765 10.83 163
07/01/2014 11:00 2.665 8.9 180
07/01/2014 12:00 2.546 9.32 169
07/01/2014 13:00 2.48 8.17 173
07/01/2014 14:00 2.394 8.9 175
07/01/2014 15:00 2.109 9.32 169
07/01/2014 16:00 2.143 8.52 176
07/01/2014 17:00 2.049 9.32 175
07/01/2014 18:00 2.009 8.52 156
07/01/2014 19:00 1.887 7.03 169
07/01/2014 20:00 1.846 7.56 165
07/01/2014 21:00 1.86 6.79 165
07/01/2014 22:00 1.769 8.9 166
07/01/2014 23:00 1.914 8.52 165
08/01/2014 00:00 1.91 8.9 173
08/01/2014 01:00 2.109 8.52 162
08/01/2014 02:00 2.16 9.77 182
08/01/2014 03:00 2.131 10.27 183
08/01/2014 04:00 2.127 10.27 182
08/01/2014 05:00 2.316 9.32 179
08/01/2014 06:00 2.288 10.27 169
08/01/2014 07:00 2.237 9.77 163
08/01/2014 08:00 2.173 9.77 166
08/01/2014 09:00 2.102 10.27 168
08/01/2014 10:00 2.033 10.83 175
08/01/2014 11:00 1.917 10.27 170
08/01/2014 12:00 1.953 9.77 163
08/01/2014 13:00 1.901 10.83 169
08/01/2014 15:00 1.794 10.83 173
08/01/2014 17:00 1.623 10.27 170
08/01/2014 19:00 1.419 10.27 175
08/01/2014 20:00 1.346 10.27 161
08/01/2014 21:00 1.327 9.77 158
08/01/2014 22:00 1.216 9.32 159
08/01/2014 23:00 1.16 10.27 156
09/01/2014 00:00 1.184 9.77 172
09/01/2014 01:00 1.184 9.77 169
09/01/2014 02:00 1.191 9.77 183
09/01/2014 03:00 1.121 9.32 166
09/01/2014 04:00 1.175 9.77 178
09/01/2014 05:00 1.164 9.77 163
09/01/2014 06:00 1.139 9.77 169
09/01/2014 07:00 1.297 9.77 163
09/01/2014 08:00 1.326 9.32 152
09/01/2014 09:00 1.294 10.27 155
09/01/2014 10:00 1.325 9.77 159
