Easting	Northing	Elevation_OD	Chainage	FC	Profile	Reg_ID
416520.859	90797.418	3.479	-3.524	S	B5	5f00375
416519.826	90793.162	3.163	 0.856	S	B5	5f00375
416518.654	90788.233	2.783	 5.922	S	B5	5f00375
416517.452	90783.172	2.502	11.124	S	B5	ff	gg	5f00375
416516.177	90777.946	2.197	16.503	GS	B5	5f00375
416515.223	90773.940	2.091	20.621	GS	B5	5f00375
416514.085	90769.306	1.686	25.393	GS	B5	5f00375
416513.055	90765.162	1.300	29.662	GS	B5	5f00375
416511.909	90760.313	0.798	34.645	S	B5	5f00375
416510.704	90755.394	0.438	39.709	S	B5	5f00375
416509.650	90750.876	0.113	44.349	S	B5	5f00375
416508.903	90747.800	-0.139	47.514	S	B5	5f00375
416008.744	90896.619	3.365	 5.432	GM	B6	5f00379
416008.789	90896.077	3.276	 5.975	GM	B6	5f00379
416008.693	90895.289	3.630	 6.747	S	B6	5f00379
416008.611	90893.729	3.517	 8.294	S	B6	5f00379
416008.541	90891.662	3.044	10.352	S	B6	5f00379
416008.501	90890.755	3.120	11.256	S	B6	5f00379
416008.383	90887.735	2.894	14.270	S	B6	5f00379
416008.250	90884.416	2.931	17.586	GS	B6	5f00379
416008.142	90881.599	2.836	20.401	GS	B6	5f00379
416007.950	90876.750	2.408	25.250	S	B6	5f00379
416007.792	90873.229	2.059	28.772	S	B6	5f00379
416007.723	90870.212	1.957	31.789	G	B6	5f00379
416007.536	90866.114	1.872	35.889	G	B6	5f00379
416007.360	90861.424	1.527	40.581	G	B6	5f00379
416007.252	90857.428	1.228	44.578	G	B6	5f00379
416007.129	90854.060	0.857	47.948	S	B6	5f00379
416006.937	90849.131	0.456	52.880	S	B6	5f00379
416006.705	90843.381	0.073	58.633	GS	B6	5f00379
416006.697	90841.016	-0.164	60.998	GS	B6	5f00379
416006.512	90838.064	-0.390	63.953	G	B6	5f00379
415531.379	90977.716	4.279	 4.626	S	B7	5f00384
415531.305	90977.171	4.312	 5.176	S	B7	5f00384
415530.571	90972.578	3.319	 9.827	S	B7	5f00384
415529.733	90967.390	3.001	15.082	S	B7	5f00384
415528.890	90962.075	2.913	20.464	S	B7	5f00384
415528.043	90956.751	2.564	25.855	S	B7	5f00384
415527.252	90951.855	2.137	30.814	S	B7	5f00384
415526.541	90947.231	1.814	35.492	GS	B7	5f00384
415525.740	90942.356	1.573	40.433	GS	B7	5f00384
415524.965	90937.401	1.363	45.448	S	B7	5f00384
415524.163	90932.356	1.006	50.556	S	B7	5f00384
415523.409	90927.689	0.625	55.284	S	B7	5f00384
415522.623	90922.581	0.228	60.452	S	B7	5f00384
415521.924	90918.332	-0.163	64.758	S	B7	5f00384
