Site ProfileID Date Chainage Elevation Flag
DUCK P-100 1998-01-27 0.00 4.62 GPS
DUCK P-100 1998-01-27 1.90 4.67 GPS
DUCK P-100 1998-01-27 2.50 4.68 GPS
DUCK P-100 1998-01-27 3.10 4.64 GPS
DUCK P-100 1998-01-27 4.20 4.61 GPS
DUCK P-100 1998-01-27 4.80 4.53 GPS
DUCK P-100 1998-01-27 6.10 4.53 GPS
DUCK P-100 1998-01-27 6.20 4.59 GPS
DUCK P-100 1998-01-27 6.80 3.89 GPS
DUCK P-100 1998-01-27 7.30 4.92 GPS
DUCK P-100 1998-01-27 7.70 4.96 GPS
DUCK P-100 1998-01-27 8.10 4.98 GPS
DUCK P-100 1998-01-27 9.30 4.96 GPS
DUCK P-100 1998-01-27 10.10 4.96 GPS
DUCK P-100 1998-01-27 11.40 5.05 GPS
DUCK P-100 1998-01-27 12.10 5.07 GPS
DUCK P-100 1998-01-27 12.20 4.98 GPS
DUCK P-100 1998-01-27 12.50 4.91 GPS
DUCK P-100 1998-01-27 13.20 4.79 GPS
DUCK P-100 1998-01-27 15.90 4.75 GPS
DUCK P-100 1998-01-27 16.50 4.73 GPS
DUCK P-100 1998-01-27 18.30 4.96 GPS
DUCK P-100 1998-01-27 19.20 5.10 GPS
DUCK P-100 1998-01-27 19.60 5.17 GPS
DUCK P-100 1998-01-27 20.10 5.34 GPS
DUCK P-100 1998-01-27 20.50 5.32 GPS
DUCK P-100 1998-01-27 20.90 5.30 GPS
DUCK P-100 1998-01-27 21.70 5.30 GPS
DUCK P-100 1998-01-27 22.10 5.31 GPS
DUCK P-100 1998-01-27 22.80 5.37 GPS
DUCK P-100 1998-01-27 23.10 5.42 GPS
DUCK P-100 1998-01-27 23.20 5.36 GPS
DUCK P-100 1998-01-27 23.50 5.50 GPS
DUCK P-100 1998-01-27 23.90 5.54 GPS
DUCK P-100 1998-01-27 24.20 5.60 GPS
DUCK P-100 1998-01-27 24.70 5.72 GPS
DUCK P-100 1998-01-27 25.20 5.86 GPS
DUCK P-100 1998-01-27 25.60 5.95 GPS
DUCK P-100 1998-01-27 26.00 6.05 GPS
DUCK P-100 1998-01-27 26.50 6.14 GPS
DUCK P-100 1998-01-27 26.90 6.29 GPS
DUCK P-100 1998-01-27 27.20 6.38 GPS
DUCK P-100 1998-01-27 27.50 6.53 GPS
DUCK P-100 1998-01-27 27.80 6.63 GPS
DUCK P-100 1998-01-27 28.10 6.86 GPS
DUCK P-100 1998-01-27 28.40 6.94 GPS
DUCK P-100 1998-01-27 29.00 7.13 GPS
DUCK P-100 1998-01-27 29.70 7.23 GPS
DUCK P-100 1998-01-27 30.20 7.25 GPS
DUCK P-100 1998-01-27 30.70 7.13 GPS
DUCK P-100 1998-01-27 31.10 7.13 GPS
DUCK P-100 1998-01-27 31.80 7.19 GPS
DUCK P-100 1998-01-27 32.20 7.09 GPS
DUCK P-100 1998-01-27 33.00 7.08 GPS
DUCK P-100 1998-01-27 34.30 7.08 GPS
DUCK P-100 1998-01-27 35.10 6.93 GPS
DUCK P-100 1998-01-27 35.40 6.75 GPS
DUCK P-100 1998-01-27 36.00 6.60 GPS
DUCK P-100 1998-01-27 36.90 6.35 GPS
DUCK P-100 1998-01-27 37.40 6.21 GPS
DUCK P-100 1998-01-27 38.10 6.05 GPS
DUCK P-100 1998-01-27 38.50 5.91 GPS
DUCK P-100 1998-01-27 39.00 5.79 GPS
DUCK P-100 1998-01-27 39.30 5.73 GPS
DUCK P-100 1998-01-27 39.70 5.59 GPS
DUCK P-100 1998-01-27 40.50 5.38 GPS
DUCK P-100 1998-01-27 41.10 5.18 GPS
DUCK P-100 1998-01-27 41.70 5.05 GPS
DUCK P-100 1998-01-27 42.10 4.96 GPS
DUCK P-100 1998-01-27 42.50 4.93 GPS
DUCK P-100 1998-01-27 42.90 4.89 GPS
