Easting	Northing	Elevation_OD	Chainage	FC	Profile	Reg_ID
421855.210	93122.301	4.244	155.400	ZZ	N/A	5f00227
421855.206	93122.101	4.196	155.600	ZZ	N/A	5f00227
421855.203	93121.901	4.162	155.800	ZZ	N/A	5f00227
421855.199	93121.701	4.107	156.000	ZZ	N/A	5f00227
421855.196	93121.501	4.078	156.200	ZZ	N/A	5f00227
421855.192	93121.301	4.065	156.400	ZZ	N/A	5f00227
421855.189	93121.101	4.046	156.600	ZZ	N/A	5f00227
421855.186	93120.901	4.028	156.800	ZZ	N/A	5f00227
421855.182	93120.701	4.021	157.000	ZZ	N/A	5f00227
421855.178	93120.501	4.015	157.200	ZZ	N/A	5f00227
421855.175	93120.301	3.989	157.400	ZZ	N/A	5f00227
421855.171	93120.101	3.980	157.600	ZZ	N/A	5f00227
421855.168	93119.901	3.971	157.800	ZZ	N/A	5f00227
421855.165	93119.701	3.958	158.000	ZZ	N/A	5f00227
421855.161	93119.501	3.938	158.200	ZZ	N/A	5f00227
421855.157	93119.301	3.919	158.400	ZZ	N/A	5f00227
421855.154	93119.101	3.903	158.600	ZZ	N/A	5f00227
421855.151	93118.901	3.887	158.800	ZZ	N/A	5f00227
421855.147	93118.701	3.870	159.000	ZZ	N/A	5f00227
421855.144	93118.501	3.855	159.200	ZZ	N/A	5f00227
421855.140	93118.301	3.840	159.400	ZZ	N/A	5f00227
421855.137	93118.101	3.819	159.600	ZZ	N/A	5f00227
421855.133	93117.901	3.792	159.800	ZZ	N/A	5f00227
421855.130	93117.701	3.765	160.000	ZZ	N/A	5f00227
421855.126	93117.501	3.732	160.200	ZZ	N/A	5f00227
421855.123	93117.301	3.694	160.400	ZZ	N/A	5f00227
421855.119	93117.102	3.655	160.600	ZZ	N/A	5f00227
421855.116	93116.902	3.617	160.800	ZZ	N/A	5f00227
421855.112	93116.701	3.579	161.000	ZZ	N/A	5f00227
421855.109	93116.502	3.538	161.200	ZZ	N/A	5f00227
421855.105	93116.302	3.498	161.400	ZZ	N/A	5f00227
421855.102	93116.102	3.460	161.600	ZZ	N/A	5f00227
421855.098	93115.902	3.395	161.800	ZZ	N/A	5f00227
421855.095	93115.702	3.460	162.000	ZZ	N/A	5f00227
421855.091	93115.502	3.530	162.200	ZZ	N/A	5f00227
421855.088	93115.302	3.599	162.400	ZZ	N/A	5f00227
421855.084	93115.102	3.669	162.600	ZZ	N/A	5f00227
421855.081	93114.902	3.744	162.800	ZZ	N/A	5f00227
421855.077	93114.702	3.827	163.000	ZZ	N/A	5f00227
421855.074	93114.502	3.907	163.200	ZZ	N/A	5f00227
421855.070	93114.302	3.901	163.400	ZZ	N/A	5f00227
421855.067	93114.102	3.916	163.600	ZZ	N/A	5f00227
421855.063	93113.902	3.897	163.800	ZZ	N/A	5f00227
421855.060	93113.702	3.976	164.000	ZZ	N/A	5f00227
421855.056	93113.502	3.882	164.200	ZZ	N/A	5f00227
421855.053	93113.302	3.889	164.400	ZZ	N/A	5f00227
421855.049	93113.102	3.896	164.600	ZZ	N/A	5f00227
421855.046	93112.902	3.903	164.800	ZZ	N/A	5f00227
421855.042	93112.702	3.900	165.000	ZZ	N/A	5f00227
421855.039	93112.502	3.855	165.200	ZZ	N/A	5f00227
421855.035	93112.302	3.795	165.400	ZZ	N/A	5f00227
421855.032	93112.102	3.730	165.600	ZZ	N/A	5f00227
421855.028	93111.902	3.664	165.800	ZZ	N/A	5f00227
421855.025	93111.702	3.637	166.000	ZZ	N/A	5f00227
421855.021	93111.502	3.641	166.200	ZZ	N/A	5f00227
421855.018	93111.302	3.645	166.400	ZZ	N/A	5f00227
421855.014	93111.102	3.545	166.600	ZZ	N/A	5f00227
421855.011	93110.902	3.450	166.800	ZZ	N/A	5f00227
421855.007	93110.702	3.338	167.000	ZZ	N/A	5f00227
421855.004	93110.503	3.203	167.200	ZZ	N/A	5f00227
421855.001	93110.303	3.112	167.400	ZZ	N/A	5f00227
421854.997	93110.102	3.009	167.600	ZZ	N/A	5f00227
421854.993	93109.903	2.907	167.800	ZZ	N/A	5f00227
421854.990	93109.703	2.785	168.000	ZZ	N/A	5f00227
421854.986	93109.503	2.699	168.200	ZZ	N/A	5f00227
421854.983	93109.303	2.616	168.400	ZZ	N/A	5f00227
421854.980	93109.103	2.496	168.600	ZZ	N/A	5f00227
421854.976	93108.903	2.375	168.800	ZZ	N/A	5f00227
421854.972	93108.703	2.310	169.000	ZZ	N/A	5f00227
421854.969	93108.503	2.236	169.200	ZZ	N/A	5f00227
421854.966	93108.303	2.130	169.400	ZZ	N/A	5f00227
421854.962	93108.103	2.067	169.600	ZZ	N/A	5f00227
421854.959	93107.903	2.038	169.800	ZZ	N/A	5f00227
421854.955	93107.703	1.950	170.000	ZZ	N/A	5f00227
421854.952	93107.503	1.939	170.200	ZZ	N/A	5f00227
421854.948	93107.303	1.774	170.400	ZZ	N/A	5f00227
421854.945	93107.103	1.680	170.600	ZZ	N/A	5f00227
421854.941	93106.903	1.589	170.800	ZZ	N/A	5f00227
421854.938	93106.703	1.543	171.000	ZZ	N/A	5f00227
421854.934	93106.503	1.531	171.200	ZZ	N/A	5f00227
421854.931	93106.303	1.483	171.400	ZZ	N/A	5f00227
421854.927	93106.103	1.487	171.600	ZZ	N/A	5f00227
421854.924	93105.903	1.453	171.800	ZZ	N/A	5f00227
421854.920	93105.703	1.405	172.000	ZZ	N/A	5f00227
421854.917	93105.503	1.369	172.200	ZZ	N/A	5f00227
421854.913	93105.303	1.333	172.400	ZZ	N/A	5f00227
421854.910	93105.103	1.241	172.600	ZZ	N/A	5f00227
421854.906	93104.903	1.170	172.800	ZZ	N/A	5f00227
421854.903	93104.703	1.059	173.000	ZZ	N/A	5f00227
421854.899	93104.503	0.917	173.200	ZZ	N/A	5f00227
421854.896	93104.303	0.794	173.400	ZZ	N/A	5f00227
421854.892	93104.103	0.733	173.600	ZZ	N/A	5f00227
421854.889	93103.904	0.673	173.800	ZZ	N/A	5f00227
421777.528	93155.893	7.324	0.000	ZZ	N/A	5f00228
421777.539	93155.693	7.310	0.200	ZZ	N/A	5f00228
421777.549	93155.493	7.293	0.400	ZZ	N/A	5f00228
421777.559	93155.294	7.275	0.600	ZZ	N/A	5f00228
421777.570	93155.094	7.258	0.800	ZZ	N/A	5f00228
421777.580	93154.894	7.241	1.000	ZZ	N/A	5f00228
421777.591	93154.695	7.224	1.200	ZZ	N/A	5f00228
421777.601	93154.495	7.206	1.400	ZZ	N/A	5f00228
421777.612	93154.295	7.189	1.600	ZZ	N/A	5f00228
421777.622	93154.095	7.172	1.800	ZZ	N/A	5f00228
421777.633	93153.896	7.155	2.000	ZZ	N/A	5f00228
421777.643	93153.696	7.138	2.200	ZZ	N/A	5f00228
421777.654	93153.496	7.121	2.400	ZZ	N/A	5f00228
421777.664	93153.297	7.104	2.600	ZZ	N/A	5f00228
421777.675	93153.097	7.087	2.800	ZZ	N/A	5f00228
421777.685	93152.897	7.070	3.000	ZZ	N/A	5f00228
421777.695	93152.697	7.052	3.200	ZZ	N/A	5f00228
421777.706	93152.498	7.034	3.400	ZZ	N/A	5f00228
421777.716	93152.298	7.015	3.600	ZZ	N/A	5f00228
421777.727	93152.098	6.997	3.800	ZZ	N/A	5f00228
421777.737	93151.898	6.978	4.000	ZZ	N/A	5f00228
421777.748	93151.699	6.960	4.200	ZZ	N/A	5f00228
421777.758	93151.499	6.941	4.400	ZZ	N/A	5f00228
421777.769	93151.299	6.922	4.600	ZZ	N/A	5f00228
421777.779	93151.100	6.902	4.800	ZZ	N/A	5f00228
421777.790	93150.900	6.883	5.000	ZZ	N/A	5f00228
421777.800	93150.700	6.864	5.200	ZZ	N/A	5f00228
421777.811	93150.500	6.844	5.400	ZZ	N/A	5f00228
421777.821	93150.301	6.825	5.600	ZZ	N/A	5f00228
421777.831	93150.101	6.807	5.800	ZZ	N/A	5f00228
421777.842	93149.901	6.787	6.000	ZZ	N/A	5f00228
421777.852	93149.701	6.767	6.200	ZZ	N/A	5f00228
421777.863	93149.502	6.747	6.400	ZZ	N/A	5f00228
421777.873	93149.302	6.727	6.600	ZZ	N/A	5f00228
421777.884	93149.102	6.707	6.800	ZZ	N/A	5f00228
421777.894	93148.903	6.687	7.000	ZZ	N/A	5f00228
421777.905	93148.703	6.667	7.200	ZZ	N/A	5f00228
421777.915	93148.503	6.647	7.400	ZZ	N/A	5f00228
421777.926	93148.303	6.627	7.600	ZZ	N/A	5f00228
421777.936	93148.104	6.606	7.800	ZZ	N/A	5f00228
421777.947	93147.904	6.586	8.000	ZZ	N/A	5f00228
421777.957	93147.704	6.567	8.200	ZZ	N/A	5f00228
421777.968	93147.504	6.551	8.400	ZZ	N/A	5f00228
421777.978	93147.305	6.534	8.600	ZZ	N/A	5f00228
421777.989	93147.105	6.518	8.800	ZZ	N/A	5f00228
421777.999	93146.905	6.496	9.000	ZZ	N/A	5f00228
421778.009	93146.706	6.471	9.200	ZZ	N/A	5f00228
421778.020	93146.506	6.454	9.400	ZZ	N/A	5f00228
421778.030	93146.306	6.436	9.600	ZZ	N/A	5f00228
421778.041	93146.106	6.413	9.800	ZZ	N/A	5f00228
421778.051	93145.907	6.393	10.000	ZZ	N/A	5f00228
