Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  04-Dec-2017 14:00:00	50.63366667	-1.718833333	0	0.29	0.21	3.03	3.1	233	51	9.65
  04-Dec-2017 14:30:00	50.63366667	-1.718833333	0	0.33	0.22	2.99	3	238	49	9.8
  04-Dec-2017 15:00:00	50.63366667	-1.718833333	0	0.34	0.2	2.9	3.1	267	52	9.8
  04-Dec-2017 15:30:00	50.63366667	-1.718833333	0	0.35	0.21	2.88	3.1	201	40	9.75
  04-Dec-2017 16:00:00	50.63366667	-1.718833333	0	0.33	0.23	2.82	3.2	198	34	9.65
  04-Dec-2017 16:30:00	50.63366667	-1.718833333	0	0.33	0.3	2.7	3.3	197	34	9.7
  04-Dec-2017 17:00:00	50.63366667	-1.718833333	0	0.31	0.23	2.9	3.3	235	45	9.7
  04-Dec-2017 17:30:00	50.63366667	-1.718833333	0	0.32	0.31	3.05	3.1	207	58	9.75
  04-Dec-2017 18:00:00	50.63366667	-1.718833333	0	0.32	0.3	3.25	3.2	278	65	10.15
  04-Dec-2017 18:30:00	50.63366667	-1.718833333	0	0.3	0.29	3.39	3.1	290	61	10.9
  04-Dec-2017 19:00:00	50.63366667	-1.718833333	0	0.29	0.27	3.42	2.9	195	65	11.1
  04-Dec-2017 19:30:00	50.63366667	-1.718833333	0	0.27	0.2	3.64	3.1	187	52	11.15
  04-Dec-2017 20:00:00	50.63366667	-1.718833333	0	0.3	0.23	3.96	3.3	308	72	11.05
  04-Dec-2017 20:30:00	50.63366667	-1.718833333	0	0.33	0.22	4.49	3.4	194	52	10.95
  04-Dec-2017 21:00:00	50.63366667	-1.718833333	5	0.33	0.19	4.65	3.5	210	28	10.95
  04-Dec-2017 21:30:00	50.63366667	-1.718833333	5	0.35	0.25	4.65	3.7	208	20	10.95
  04-Dec-2017 22:00:00	50.63366667	-1.718833333	5	0.35	0.26	4.3	4	207	26	10.95
  04-Dec-2017 22:30:00	50.63366667	-1.718833333	5	0.33	0.24	3.7	4.4	201	33	10.95
  04-Dec-2017 23:00:00	50.63366667	-1.718833333	5	0.33	0.27	3.88	4.3	221	35	11
  04-Dec-2017 23:30:00	50.63366667	-1.718833333	5	0.3	0.21	3.88	4.7	204	68	11.05
  05-Dec-2017 00:00:00	50.63366667	-1.718833333	5	0.32	0.25	3.92	4.4	236	42	11.1
