Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  01-Jan-2017 00:00:00	9999.00000	9999.00000	9	9999.000	9999.000	9999.0	9999.0	9999	9999	9999.0
  01-Jan-2017 00:30:00	50.73443	-0.49458	5	0.700	0.890	9.1	3.4	218	 17	9.8
  01-Jan-2017 01:00:00	50.73443	-0.49458	5	0.650	0.840	12.5	3.6	225	 27	9.4
  01-Jan-2017 01:30:00	50.73432	-0.49462	5	0.660	0.860	10.0	3.7	222	 21	9.2
  01-Jan-2017 02:00:00	50.73429	-0.49466	0	0.580	0.700	3.7	3.6	224	 28	9.0
  01-Jan-2017 02:30:00	50.73427	-0.49466	0	0.550	0.890	3.2	3.5	197	 40	8.9
  01-Jan-2017 03:00:00	50.73424	-0.49466	0	0.580	0.840	3.6	3.5	239	 32	9.1
  01-Jan-2017 03:30:00	50.73420	-0.49466	0	0.610	0.790	3.6	3.5	232	 24	9.2
  01-Jan-2017 04:00:00	50.73419	-0.49464	0	0.600	0.960	3.6	3.4	229	 27	9.2
  01-Jan-2017 04:30:00	50.73417	-0.49462	0	0.620	1.170	3.7	3.2	222	 24	9.3
  01-Jan-2017 05:00:00	50.73419	-0.49460	0	0.650	1.050	4.0	3.2	235	 22	9.3
  01-Jan-2017 05:30:00	50.73420	-0.49458	0	0.750	1.380	3.9	3.3	221	 23	9.3
  01-Jan-2017 06:00:00	50.73423	-0.49458	0	0.830	1.650	4.2	3.3	215	 20	9.3
  01-Jan-2017 06:30:00	50.73431	-0.49456	0	0.980	1.730	4.2	3.4	207	 18	9.3
  01-Jan-2017 07:00:00	50.73471	-0.49411	0	0.940	1.580	4.5	3.3	203	 16	9.3
  01-Jan-2017 07:30:00	50.73458	-0.49342	0	0.970	1.690	4.5	3.3	203	 15	9.3
  01-Jan-2017 08:00:00	50.73452	-0.49335	0	1.000	1.740	4.5	3.3	205	 19	9.2
  01-Jan-2017 08:30:00	50.73451	-0.49333	0	1.120	2.010	4.2	3.4	214	 21	8.8
  01-Jan-2017 09:00:00	50.73452	-0.49333	0	1.210	2.010	4.3	3.5	219	 24	8.6
